"id","province","city","type","carrier","product","directive","upward","downward","receiveMsg","reportAt","checked","remark","version","result","return_code"
"24617467","27","717","1","UNICOM","0","SJLL","10010","10010","[""截至当前，您的套餐使用情况如下：\r\n -流量\r\n 0元1GB省内流量(已升级为国内流量)(一次性月包)1\r\n 套餐内流量(已升级为国内流量)(1.0G)\r\n 已用1024.00MB湖北畅爽全国冰激凌套餐-49元\/月（首月全量全价）\r\n 套内国内流量\r\n 已用18921.34MB\r\n 本数据仅供参考。\r\n 回复“5083”，查看流量半年包余量。\r\n 回复“1071”，查看手机上网流量。\r\n 【抗击疫情，服务不停！使用手机营业厅，足不出户交话费、查余额、办业务，免流量看电影、玩游戏，点击 http:\/\/u.10010.cn\/khddx ，马上拥有】""]","2021-03-30 13:18:13","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617442","311","310","1","UNICOM","0","公布实际能用的剩余流量！","10010","10010","[""尊敬的用户，您可以直接回复指令进行业务查询或办理：\r\n 00：手机上网流量查询\r\n 01：账户余额\r\n 02：实时话费\r\n 03：常用办理业务\r\n 04：常用查询业务\r\n 05：充值卡充值\r\n 【抗击疫情，服务不停！使用手机营业厅，足不出户交话费、查余额、办业务，免流量看电影、玩游戏，点击 http:\/\/u.10010.cn\/khddx ，马上拥有】""]","2021-03-30 13:11:49","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617280","10","10","1","UNICOM","0","CXLL","10010","10010","[""尊敬的用户，请回复以下字母（如A）开通流量业务：\r\n A.冰激凌加速包自动版（10元\/3GB）\r\n B.5元100MB全国流量月包\r\n C.10元300MB全国流量月包\r\n E.20元1GB全国流量月包\r\n G.30元2GB全国流量月包\r\n H.10元1GB全国流量日租包\r\n I.5元1GB全国流量闲时包\r\n K.10元3GB全国流量闲时包\r\n P.冰激凌加速包单次版（15元\/3GB）""]","2021-03-30 12:20:13","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24617279","28","734","1","UNICOM","0","7151","10010","10010","[""尊敬的用户，您可以直接回复指令进行业务查询或办理：\r\n 00：手机上网流量查询\r\n 01：账户余额\r\n 02：实时话费\r\n 03：常用办理业务\r\n 04：常用查询业务\r\n 05：充值卡充值\r\n 【抗击疫情，服务不停！使用手机营业厅，足不出户交话费、查余额、办业务，免流量看电影、玩游戏，点击 http:\/\/u.10010.cn\/khddx ，马上拥有】""]","2021-03-30 12:20:08","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616857","21","21","1","UNICOM","0","1071","10010","10010","[""截至当前，您的套餐使用情况如下：\r\n -流量\r\n 上海198元本地冰激凌套餐(首月全量全价)\r\n 套餐内流量(已升级为国内流量)\r\n 已用35813.57MB\r\n 本数据仅供参考。\r\n 回复“5083”，查看流量半年包余量。\r\n 回复“1071”，查看手机上网流量。\r\n 【抗击疫情，服务不停！使用手机营业厅，足不出户交话费、查余额、办业务，免流量看电影、玩游戏，点击 http:\/\/u.10010.cn\/khddx ，马上拥有】""]","2021-03-30 09:56:47","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616655","20","763","1","UNICOM","0","CXLL","10010","10010","[""截至当前，您的套餐使用情况如下：\r\n -流量\r\n 畅越全国冰激凌套餐-158元\/月（首月全量全价）\r\n 国内流量\r\n 已用18244.63MB畅视0元套餐-冰激凌（永久免费）\r\n 套餐流量\r\n 已用3719.52MB\r\n 本数据仅供参考。\r\n 回复“5083”，查看流量半年包余量。\r\n 回复“1071”，查看手机上网流量。\r\n 【抗击疫情，服务不停！使用手机营业厅，足不出户交话费、查余额、办业务，免流量看电影、玩游戏，点击 http:\/\/u.10010.cn\/khddx ，马上拥有】""]","2021-03-30 08:36:17","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616524","28","832","1","UNICOM","80000","CXGPRS","10010","10010","[""截至当前，您的套餐使用情况如下：\r\n -流量\r\n 畅视0元套餐-冰激凌（永久免费）\r\n 套餐流量\r\n 已用2743.93MB4G畅爽冰激凌99元套餐（首月全量全价）\r\n 套内国内流量\r\n 已用17240.70MB\r\n 本数据仅供参考。\r\n 回复“5083”，查看流量半年包余量。\r\n 回复“1071”，查看手机上网流量。\r\n 【抗击疫情，服务不停！使用手机营业厅，足不出户交话费、查余额、办业务，免流量看电影、玩游戏，点击 http:\/\/u.10010.cn\/khddx ，马上拥有】""]","2021-03-30 07:48:17","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616467","371","372","1","UNICOM","80000","1502","10010","10010","[""截至当前，您的套餐使用情况如下：\r\n 套餐流量(0.00MB)\r\n --优惠已用23980.20MB\r\n \r\n 语音(100分钟)\r\n --优惠已用75分钟\r\n --优惠剩余25分钟\r\n \r\n 国内短信(0条)\r\n --优惠已用0条\r\n --优惠剩余0条\r\n \r\n 套外语音(0分钟)\r\n --优惠已用0分钟\r\n --优惠剩余0分钟\r\n \r\n 套内国内流量(0.00MB)\r\n --优惠已用22126.46MB\r\n \r\n 语音(100分钟)\r\n --优惠已用0分钟\r\n --优惠剩余100分钟\r\n \r\n 查看更详细明细，请访问手机营业厅   http:\/\/u.10010.cn\/ylch 。\r\n 本数据仅供参考，详情以当地营业厅查询为准。\r\n 【抗击疫情，服务不停！使用手机营业厅，足不出户交话费、查余额、办业务，免流量看电影、玩游戏，点击 http:\/\/u.10010.cn\/khddx ，马上拥有】""]","2021-03-30 07:19:40","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616335","471","471","1","UNICOM","70000","1071","10010","10010","[""尊敬的用户，截至当前，您的流量使用情况如下：\r\n -当月免费流量30.59GB\r\n -当月套餐外流量情况\r\n 国内日租宝\r\n 已使用9.43GB\r\n \r\n 本数据仅供参考，可下载手机营业厅查询详细情况。\r\n 回复“5083”，查看流量半年包余量。\r\n 回复“2082”，查看当前套餐余量。\r\n 【抗击疫情，服务不停！使用手机营业厅，足不出户交话费、查余额、办业务，免流量看电影、玩游戏，点击 http:\/\/u.10010.cn\/khddx ，马上拥有】""]","2021-03-30 05:10:47","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
"24616200","23","23","1","UNICOM","0","CXLL","10010","10010","[""【套外流量提醒】截至03月29日08时17分，您套餐外收费流量当月已使用3.248GB，费用20.00元，超出部分按所选套餐的资费标准收取。\r\n \r\n 流量不够用，火速点击 https:\/\/u.10010.cn\/qA75o 订购14GB全国流量（7天有效）流量包（具体规则详见订购页面）。\r\n \r\n 查询流量使用详情 https:\/\/u.10010.cn\/qA5m9 。【中国联通】""]","2021-03-30 00:58:13","0","NULL","1.1","mReturnCode:4;mUsedTrafficB:0;mLeftTrafficB:0","4"
